,,,,
Номер,Проверка,Тестовые данные,Ожидаемый результат,Статус
1,Открыть плеер,,Плеер открывается без ошибок,
2,Загрузка и воспроизведение видео (нажать кнопку Play),,Начинается загрузка видео и его воспроизведение,
3,"Приостановка видео и его возбновление (нажать кнопку Pause, затем снова Play)",,"Воспроизведение видео останавливается, затем снова возобновляется",
4,Отображается прогресс-бар,,"Отображается продолжительность видео, текущее положение воспроизведения",
5,Перемотка видео (покрутить полосу перемотки видео),,Видео перематывается вперед и назад,
6,"Переход к следующему или предыдущему видео (нажать на кнопку Next, затем на кнопку Previous)",,"Переход к следующему видео, переход к предыдущему видео",
7,Включение/выключение звука (нажать кнопку Звук),,Звук воспроизводится/звук отключается,
8,Регулировка уровня громкости звука (покрутить полосу регулировки громкости звука),,"Громкость звука увеличивается (при прокрутке вперед), уменьшается (при прокрутке назад)",
9,"Включение/выключение полноэкранного режима (Нажать на кнопку ""Во весь экран"" )",,Переход в полноэкранный режим/выход из полноэкранного режима,
10,Возможность изменения качества видео,,"Качество видео изменяется на более высокий уровень, на воспроизведение видео не влияет",
11,Возможность изменения скорости воспроизведения,,"Скорость воспроизведения изменяется, на воспроизведение видео не влияет",
12,Включение/выключение субтитров (нажать на кнопку субтитры),,Субтитры отображаются/не отображаются,
13,Включение/отключение мини-проигрывателя,,Видео отображается в мини-проигрывателе/возвращается в обычный режим,
14,"Отправка ссылки на видео в другую соц.сеть, мессенджеры (нажать на кнопку Поделиться)",,Ссылка отображается и отправляется,
15,Добавление в плейлист (нажать на кнопку Сохранить),,Видео добавляется в плейлист,
16,Возможность отправки жалобы на видео (нажать кнопку Пожаловаться),,Появляется всплывающее окно с указанием причин жалобы,